"User","From","Until"
"99of9",2012-11-07,NA
"Almondega",2014-01-07,NA
"ArthurPSmith",2012-11-08,NA
"Ayack",2012-10-30,NA
"Danrok",2013-02-18,NA
"Emw",2012-10-31,NA
"Fralambert",2013-02-15,NA
"GZWDer",2013-03-28,NA
"Ivan A. Krestinin",2013-02-09,NA
"Izno",2012-10-31,NA
"JakobVoss",2012-11-02,NA
"Jonathan Groß",2012-12-08,NA
"Joshbaumgartner",2013-04-28,NA
"Jura1",2014-01-11,NA
"Kolja21",2012-11-11,NA
"MSGJ",2013-02-18,NA
"Mattflaschen",2012-10-31,NA
"Tobias1984",2012-11-28,NA
"Yellowcard",2013-01-16,NA
